 
****************************************
Report : area
Design : SystolicPod
Version: P-2019.03-SP1
Date   : Thu Sep 16 18:43:37 2021
****************************************

Library(s) Used:

    tcbn28hpmbwp35ss0p81v125c (File: /opt/tsmc/28nm/cln28hpm/stclib/9-track/Front_End/timing_power_noise/NLDM/tcbn28hpmbwp35_120a/tcbn28hpmbwp35ss0p81v125c.db)

Number of ports:                        76213
Number of nets:                        675697
Number of cells:                       557713
Number of combinational cells:         512900
Number of sequential cells:             43783
Number of macros/black boxes:               0
Number of buf/inv:                      59234
Number of references:                     132

Combinational area:             410891.132786
Buf/Inv area:                    14814.616511
Noncombinational area:           81457.609243
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                492348.742029
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
array/PE_13_2                        366.2010      0.1     322.0965     44.1045  0.0000  ProcessingElement_605
array/PE_13_20                       370.3320      0.1     326.2275     44.1045  0.0000  ProcessingElement_587
array/PE_13_21                       364.5000      0.1     320.3955     44.1045  0.0000  ProcessingElement_586
array/PE_13_22                       364.2570      0.1     319.7880     44.4690  0.0000  ProcessingElement_585
array/PE_13_23                       365.5935      0.1     321.4890     44.1045  0.0000  ProcessingElement_584
array/PE_13_24                       370.3320      0.1     325.8630     44.4690  0.0000  ProcessingElement_583
array/PE_13_25                       363.6495      0.1     319.1805     44.4690  0.0000  ProcessingElement_582
array/PE_13_26                       368.2665      0.1     323.7975     44.4690  0.0000  ProcessingElement_581
array/PE_13_27                       365.3505      0.1     321.2460     44.1045  0.0000  ProcessingElement_580
array/PE_13_28                       366.2010      0.1     322.0965     44.1045  0.0000  ProcessingElement_579
array/PE_13_29                       367.6590      0.1     323.1900     44.4690  0.0000  ProcessingElement_578
array/PE_13_3                        364.8645      0.1     320.7600     44.1045  0.0000  ProcessingElement_604
array/PE_13_30                       366.2010      0.1     322.0965     44.1045  0.0000  ProcessingElement_577
array/PE_13_31                       365.9580      0.1     321.8535     44.1045  0.0000  ProcessingElement_576
array/PE_13_4                        364.9860      0.1     320.5170     44.4690  0.0000  ProcessingElement_603
array/PE_13_5                        368.3880      0.1     323.9190     44.4690  0.0000  ProcessingElement_602
array/PE_13_6                        366.0795      0.1     321.9750     44.1045  0.0000  ProcessingElement_601
array/PE_13_7                        366.8085      0.1     322.7040     44.1045  0.0000  ProcessingElement_600
array/PE_13_8                        367.2945      0.1     323.5545     43.7400  0.0000  ProcessingElement_599
array/PE_13_9                        367.5375      0.1     323.0685     44.4690  0.0000  ProcessingElement_598
array/PE_14_0                        366.3225      0.1     322.2180     44.1045  0.0000  ProcessingElement_575
array/PE_14_1                        368.0235      0.1     323.5545     44.4690  0.0000  ProcessingElement_574
array/PE_14_10                       367.4160      0.1     322.9470     44.4690  0.0000  ProcessingElement_565
array/PE_14_11                       367.1730      0.1     323.0685     44.1045  0.0000  ProcessingElement_564
array/PE_14_12                       370.4535      0.1     326.7135     43.7400  0.0000  ProcessingElement_563
array/PE_14_13                       368.7525      0.1     324.6480     44.1045  0.0000  ProcessingElement_562
array/PE_14_14                       368.1450      0.1     324.0405     44.1045  0.0000  ProcessingElement_561
array/PE_14_15                       371.5470      0.1     327.4425     44.1045  0.0000  ProcessingElement_560
array/PE_14_16                       366.6870      0.1     321.8535     44.8335  0.0000  ProcessingElement_559
array/PE_14_17                       365.2290      0.1     321.4890     43.7400  0.0000  ProcessingElement_558
array/PE_14_18                       365.5935      0.1     321.1245     44.4690  0.0000  ProcessingElement_557
array/PE_14_19                       365.4720      0.1     321.0030     44.4690  0.0000  ProcessingElement_556
array/PE_14_2                        366.3225      0.1     322.2180     44.1045  0.0000  ProcessingElement_573
array/PE_14_20                       366.9300      0.1     322.8255     44.1045  0.0000  ProcessingElement_555
array/PE_14_21                       364.7430      0.1     320.6385     44.1045  0.0000  ProcessingElement_554
array/PE_14_22                       365.2290      0.1     320.7600     44.4690  0.0000  ProcessingElement_553
